POPID,pop_loc,population,Elderly_pe,accessibility_score,Lon,Lat,geometry_type,x,y,geometry_coordinates
145,"121.533524,31.301347",155.37352,0.16627,0.3252741549557475,121.533524,31.301347,Point,121.533524,31.301347,"[121.533524, 31.301347]"
146,"121.534422,31.301347",147.34956,0.16627,0.16372078175430668,121.534422,31.301347,Point,121.534422,31.301347,"[121.534422, 31.301347]"
147,"121.535321,31.301347",149.03949,0.16627,0.2061040761625278,121.535321,31.301347,Point,121.535321,31.301347,"[121.535321, 31.301347]"
148,"121.536219,31.301347",170.57321,0.16627,0.10546121565274684,121.536219,31.301347,Point,121.536219,31.301347,"[121.536219, 31.301347]"
149,"121.537117,31.301347",430.39139,0.16627,0.1590866190639636,121.537117,31.301347,Point,121.537117,31.301347,"[121.537117, 31.301347]"
150,"121.538016,31.301347",472.93137,0.16627,0.19068766040600282,121.538016,31.301347,Point,121.538016,31.301347,"[121.538016, 31.301347]"
151,"121.538914,31.301347",530.30591,0.16627,0.10585234538885671,121.538914,31.301347,Point,121.538914,31.301347,"[121.538914, 31.301347]"
152,"121.539812,31.301347",622.57275,0.16627,0.2176707567352606,121.539812,31.301347,Point,121.539812,31.301347,"[121.539812, 31.301347]"
153,"121.54071,31.301347",404.39639,0.16627,0.08104442404533743,121.54071,31.301347,Point,121.54071,31.301347,"[121.54071, 31.301347]"
154,"121.541609,31.301347",629.4118,0.16627,0.05289369465041356,121.541609,31.301347,Point,121.541609,31.301347,"[121.541609, 31.301347]"
155,"121.542507,31.301347",600.83057,0.16627,0.04544592791446297,121.542507,31.301347,Point,121.542507,31.301347,"[121.542507, 31.301347]"
156,"121.543405,31.301347",529.24603,0.16627,0.03632333189623272,121.543405,31.301347,Point,121.543405,31.301347,"[121.543405, 31.301347]"
157,"121.544304,31.301347",421.4447,0.16627,0.04039434496137093,121.544304,31.301347,Point,121.544304,31.301347,"[121.544304, 31.301347]"
158,"121.511964,31.300449",216.47774,0.16627,0.13081236779418173,121.511964,31.300449,Point,121.511964,31.300449,"[121.511964, 31.300449]"
159,"121.512863,31.300449",307.57407,0.16627,0.2289386330180197,121.512863,31.300449,Point,121.512863,31.300449,"[121.512863, 31.300449]"
160,"121.513761,31.300449",251.00536,0.16627,0.36330112258936775,121.513761,31.300449,Point,121.513761,31.300449,"[121.513761, 31.300449]"
161,"121.514659,31.300449",245.68515,0.16627,0.8240030882286887,121.514659,31.300449,Point,121.514659,31.300449,"[121.514659, 31.300449]"
162,"121.515558,31.300449",249.83347,0.16627,0.32444823126151534,121.515558,31.300449,Point,121.515558,31.300449,"[121.515558, 31.300449]"
163,"121.516456,31.300449",238.86642,0.16627,1.7297571307449968,121.516456,31.300449,Point,121.516456,31.300449,"[121.516456, 31.300449]"
164,"121.517354,31.300449",143.42235,0.16627,2.7538485103768364,121.517354,31.300449,Point,121.517354,31.300449,"[121.517354, 31.300449]"
165,"121.518253,31.300449",214.94226,0.16627,3.6430522424812555,121.518253,31.300449,Point,121.518253,31.300449,"[121.518253, 31.300449]"
166,"121.519151,31.300449",168.51466,0.16627,6.375692237111167,121.519151,31.300449,Point,121.519151,31.300449,"[121.519151, 31.300449]"
167,"121.520049,31.300449",166.099,0.16627,7.683515253065483,121.520049,31.300449,Point,121.520049,31.300449,"[121.520049, 31.300449]"
168,"121.520948,31.300449",137.23932,0.16627,10.588680869400704,121.520948,31.300449,Point,121.520948,31.300449,"[121.520948, 31.300449]"
169,"121.521846,31.300449",61.881878,0.16627,12.588014430317457,121.521846,31.300449,Point,121.521846,31.300449,"[121.521846, 31.300449]"
170,"121.522744,31.300449",51.91753,0.16627,14.559514684976993,121.522744,31.300449,Point,121.522744,31.300449,"[121.522744, 31.300449]"
171,"121.523642,31.300449",47.121529,0.16627,16.518738317163717,121.523642,31.300449,Point,121.523642,31.300449,"[121.523642, 31.300449]"
172,"121.524541,31.300449",40.731262,0.16627,14.219550406262567,121.524541,31.300449,Point,121.524541,31.300449,"[121.524541, 31.300449]"
173,"121.525439,31.300449",43.284691,0.16627,8.668671001246912,121.525439,31.300449,Point,121.525439,31.300449,"[121.525439, 31.300449]"
174,"121.526337,31.300449",101.81595,0.16627,8.648471932662076,121.526337,31.300449,Point,121.526337,31.300449,"[121.526337, 31.300449]"
175,"121.527236,31.300449",135.49384,0.16627,4.026575094208585,121.527236,31.300449,Point,121.527236,31.300449,"[121.527236, 31.300449]"
176,"121.528134,31.300449",192.36284,0.16627,4.6383555466016375,121.528134,31.300449,Point,121.528134,31.300449,"[121.528134, 31.300449]"
177,"121.529032,31.300449",198.47514,0.16627,3.604765450578239,121.529032,31.300449,Point,121.529032,31.300449,"[121.529032, 31.300449]"
178,"121.529931,31.300449",285.25549,0.16627,2.554470640314217,121.529931,31.300449,Point,121.529931,31.300449,"[121.529931, 31.300449]"
179,"121.530829,31.300449",274.12393,0.16627,0.771438954914849,121.530829,31.300449,Point,121.530829,31.300449,"[121.530829, 31.300449]"
180,"121.531727,31.300449",142.98752,0.16627,1.6746598550973295,121.531727,31.300449,Point,121.531727,31.300449,"[121.531727, 31.300449]"
181,"121.532626,31.300449",143.49521,0.16627,0.806521273770767,121.532626,31.300449,Point,121.532626,31.300449,"[121.532626, 31.300449]"
182,"121.533524,31.300449",155.99995,0.16627,0.5972209620349263,121.533524,31.300449,Point,121.533524,31.300449,"[121.533524, 31.300449]"
183,"121.534422,31.300449",168.41422,0.16627,0.31188833911794084,121.534422,31.300449,Point,121.534422,31.300449,"[121.534422, 31.300449]"
184,"121.535321,31.300449",189.52171,0.16627,0.2933624782613501,121.535321,31.300449,Point,121.535321,31.300449,"[121.535321, 31.300449]"
185,"121.536219,31.300449",237.76743,0.16627,0.3145776984859092,121.536219,31.300449,Point,121.536219,31.300449,"[121.536219, 31.300449]"
186,"121.537117,31.300449",145.83929,0.16627,0.11226160117124803,121.537117,31.300449,Point,121.537117,31.300449,"[121.537117, 31.300449]"
187,"121.538016,31.300449",235.82068,0.16627,0.10585234538885671,121.538016,31.300449,Point,121.538016,31.300449,"[121.538016, 31.300449]"
188,"121.538914,31.300449",252.46017,0.16627,0.13231804508096834,121.538914,31.300449,Point,121.538914,31.300449,"[121.538914, 31.300449]"
