名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs
新大洲电动车,购物消费,其他,121.775416,31.338599,上海市,上海市,崇明区,121.7710525073061,31.340594926913425
格林餐馆,餐饮美食,中国菜,121.777845,31.340846,上海市,上海市,崇明区,121.77348486702478,31.342843459396335
东北饺子家常菜,餐饮美食,中国菜,121.777971,31.341564,上海市,上海市,崇明区,121.77361099653065,31.343561333937217
聚客隆川饭店,餐饮美食,中国菜,121.777842,31.341392,上海市,上海市,崇明区,121.77348181621858,31.34338926531697
焊王劳保批发部,购物消费,其他,121.778215,31.341342,上海市,上海市,崇明区,121.77385538571345,31.343339656545375
避风塘,餐饮美食,其他,121.777151,31.340728,上海市,上海市,崇明区,121.7727898393975,31.342724817343786
烤鱼碳火锅羊蝎子农家小炒,餐饮美食,中国菜,121.778099,31.341642,上海市,上海市,崇明区,121.77373918392715,31.3436394349643
摄像馆打印复印店,生活服务,其他,121.778195,31.342008,上海市,上海市,崇明区,121.77383529882002,31.34400540372816
园东超市,购物消费,便利店,121.77837,31.341551,上海市,上海市,崇明区,121.77401060444802,31.343548740112112
快活岛越野沙滩车卡丁车国际俱乐部,运动健身,其他,121.790201,31.346671,上海市,上海市,崇明区,121.78586176592617,31.348681089320127
如海超市,购物消费,超市,121.777762,31.340531,上海市,上海市,崇明区,121.77340176865717,31.342528487238642
元沙社区卫生服务站,医疗保健,综合医院,121.778153,31.341165,上海市,上海市,崇明区,121.77379330639197,31.343162656029
上海富强家电专卖店,购物消费,家电数码,121.777214,31.340665,上海市,上海市,崇明区,121.7728529381692,31.342661900810956
老徽州菜饭骨头汤,餐饮美食,中国菜,121.778031,31.341216,上海市,上海市,崇明区,121.7736711168913,31.343213515689293
真人cs野战,休闲娱乐,其他,121.790265,31.345745,上海市,上海市,崇明区,121.78592596846036,31.347755495271954
鲜果坊,购物消费,市场,121.777931,31.341612,上海市,上海市,崇明区,121.77357093196255,31.34360927718473
江南造船教育培训学校,科教文化,培训单位,121.764599,31.345484,上海市,上海市,崇明区,121.76022200305577,31.347469644614034
兴荣劳保批发部,购物消费,其他,121.77852,31.341636,上海市,上海市,崇明区,121.77416082693344,31.343633862730805
